Count of USERID2;Column Labels;;;;;;;;;
Row Labels;Adhoc;Cartoons;Entertainment;Gossip;Music;News;Sports;Uknown;(blank);Grand Total
Eastern Cape;17;114;65;24;152;40;257;9;;678
Free State;12;46;30;11;75;5;104;7;;290
Gauteng;166;526;377;144;678;231;1415;37;;3574
Kwazulu Natal;61;161;124;38;219;53;468;21;;1145
Limpopo;22;88;101;24;118;19;334;8;;714
Mpumalanga;29;162;135;23;206;39;306;16;;916
None;21;38;22;16;47;12;126;4;;286
North West;13;43;54;13;84;9;113;6;;335
Northern Cape;10;36;42;6;68;10;48;6;;226
Uknown;1;1;2;;2;1;15;;;22
Western Cape;72;292;95;68;353;86;818;30;;1814
Grand Total;424;1507;1047;367;2002;505;4004;144;;10000
